date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:25	30112/30112	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/ex48.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex48.html	(from http://learnpythonthehardway.org/book/)
11:31:26	32004/32004	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex49.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex49.html	(from http://learnpythonthehardway.org/book/)
11:31:26	32474/32474	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/ex50.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex50.html	(from http://learnpythonthehardway.org/book/)
11:31:27	59385/59385	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:53%20GMT	http://learnpythonthehardway.org/book/ex51.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex51.html	(from http://learnpythonthehardway.org/book/)
11:31:28	69394/69394	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:53%20GMT	http://learnpythonthehardway.org/book/ex52.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex52.html	(from http://learnpythonthehardway.org/book/)
11:31:28	12261/12261	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:53%20GMT	http://learnpythonthehardway.org/book/advice.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/advice.html	(from http://learnpythonthehardway.org/book/)
11:31:28	15425/15425	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/next.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/next.html	(from http://learnpythonthehardway.org/book/)
11:31:28	10841/10841	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:54%20GMT	http://learnpythonthehardway.org/book/appendixa.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/appendixa.html	(from http://learnpythonthehardway.org/book/)
11:31:30	85493/85493	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jun%202014%2000:59:54%20GMT	http://learnpythonthehardway.org/book/javascripts/foundation.min.js	c:/temp/websites/python_book/learnpythonthehardway.org/book/javascripts/foundation.min.js	(from http://learnpythonthehardway.org/book/)
11:31:31	84587/84587	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/javascripts/jquery.js	c:/temp/websites/python_book/learnpythonthehardway.org/book/javascripts/jquery.js	(from http://learnpythonthehardway.org/book/)
11:31:31	1862/1862	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/javascripts/index.js	c:/temp/websites/python_book/learnpythonthehardway.org/book/javascripts/index.js	(from http://learnpythonthehardway.org/book/)
11:31:33	5336/5336	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2016%20Feb%202014%2001:10:34%20GMT	https://paydiv.io/static/jzed.js	c:/temp/websites/python_book/paydiv.io/static/jzed.js	(from http://learnpythonthehardway.org/book/)
11:31:35	55392/55392	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2005%20Nov%202013%2000:28:45%20GMT	https://paydiv.io/static/js/videojs/video.js	c:/temp/websites/python_book/paydiv.io/static/js/videojs/video.js	(from http://learnpythonthehardway.org/book/)
11:31:35	21318/21318	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Nov%202013%2000:28:45%20GMT	https://paydiv.io/static/js/videojs/video-js.css	c:/temp/websites/python_book/paydiv.io/static/js/videojs/video-js.css	(from http://learnpythonthehardway.org/book/)
11:31:36	1031/1031	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jun%202014%2000:59:51%20GMT	http://learnpythonthehardway.org/book/javascripts/app.js	c:/temp/websites/python_book/learnpythonthehardway.org/book/javascripts/app.js	(from http://learnpythonthehardway.org/book/)
11:31:36	137/137	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/javascripts/littools.js	c:/temp/websites/python_book/learnpythonthehardway.org/book/javascripts/littools.js	(from http://learnpythonthehardway.org/book/)
11:31:37	7720/7720	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2022%20Mar%202014%2023:55:01%20GMT	https://paydiv.io/static/api/v1/paydiv.js	c:/temp/websites/python_book/paydiv.io/static/api/v1/paydiv.js	(from http://learnpythonthehardway.org/book/)
11:31:39	38205/38205	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/fonts/fontawesome-webfont.eot?v=4.0.3	c:/temp/websites/python_book/learnpythonthehardway.org/book/fonts/fontawesome-webfontba72.eot	(from http://learnpythonthehardway.org/book/stylesheets/font-awesome.min.css)
11:31:42	202148/202148	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2006%20Jun%202014%2000:59:54%20GMT	http://learnpythonthehardway.org/book/fonts/fontawesome-webfont.svg?v=4.0.3	c:/temp/websites/python_book/learnpythonthehardway.org/book/fonts/fontawesome-webfontba72.svg	(from http://learnpythonthehardway.org/book/stylesheets/font-awesome.min.css)
11:31:45	38205/38205	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/fonts/fontawesome-webfont.eot?	c:/temp/websites/python_book/learnpythonthehardway.org/book/fonts/fontawesome-webfontd41d.eot	(from http://learnpythonthehardway.org/book/stylesheets/font-awesome.min.css)
11:31:46	44432/44432	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/fonts/fontawesome-webfont.woff?v=4.0.3	c:/temp/websites/python_book/learnpythonthehardway.org/book/fonts/fontawesome-webfontba72.woff	(from http://learnpythonthehardway.org/book/stylesheets/font-awesome.min.css)
11:31:52	80652/80652	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2006%20Jun%202014%2000:59:52%20GMT	http://learnpythonthehardway.org/book/fonts/fontawesome-webfont.ttf?v=4.0.3	c:/temp/websites/python_book/learnpythonthehardway.org/book/fonts/fontawesome-webfontba72.ttf	(from http://learnpythonthehardway.org/book/stylesheets/font-awesome.min.css)
11:31:55	51672/51672	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/fonts/myriadpro-cond.woff	c:/temp/websites/python_book/learnpythonthehardway.org/book/fonts/myriadpro-cond.woff	(from http://learnpythonthehardway.org/book/stylesheets/main.css)
11:31:59	443268/443268	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2006%20Jun%202014%2000:59:53%20GMT	http://learnpythonthehardway.org/book/fonts/myriadpro-cond.svg	c:/temp/websites/python_book/learnpythonthehardway.org/book/fonts/myriadpro-cond.svg	(from http://learnpythonthehardway.org/book/stylesheets/main.css)
11:32:03	115016/115016	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/fonts/myriadpro-cond.eot	c:/temp/websites/python_book/learnpythonthehardway.org/book/fonts/myriadpro-cond.eot	(from http://learnpythonthehardway.org/book/stylesheets/main.css)
